sep=;
Year;Month;Day;Hour;Temperature;Pressure;WindSpeed;WindDirection
2022;01;01;00;-9,5;742;2;0
2022;01;01;03;-8,9;740;2;0
2022;01;01;06;-8,6;739;2;0
2022;01;01;09;-7,8;738;3;0
2022;01;01;12;-6,5;736;3;0
2022;01;01;15;-6,1;735;3;0
2022;01;01;18;-6,1;734;1;0
2022;01;01;21;-5,5;734;2;45
2022;01;02;00;-5,4;735;1;45
2022;01;02;03;-5,5;735;1;90
2022;01;02;06;-5,8;735;0;180
2022;01;02;09;-7;735;2;135
2022;01;02;12;-8,2;735;1;180
2022;01;02;15;-8,9;735;1;135
2022;01;02;18;-9,2;735;1;135
2022;01;02;21;-9,5;734;2;90
2022;01;03;00;-9,8;734;2;90
2022;01;03;03;-10,2;734;2;90
2022;01;03;06;-10,6;734;2;90
2022;01;03;09;-11,8;734;1;90
2022;01;03;12;-11,3;734;2;90
2022;01;03;15;-11,7;734;2;90
2022;01;03;18;-12,5;734;3;90
2022;01;03;21;-13,2;734;2;45
2022;01;04;00;-14,1;734;1;45
2022;01;04;03;-13,8;733;3;90
2022;01;04;06;-15;734;2;90
2022;01;04;09;-16,3;735;2;90
2022;01;04;12;-15,6;736;2;90
2022;01;04;15;-18,8;737;2;90
2022;01;04;18;-18,2;738;2;90
2022;01;04;21;-18,7;739;1;45
2022;01;05;00;-22,8;741;1;90
2022;01;05;03;-22,5;742;1;90
2022;01;05;06;-23,7;743;1;45
2022;01;05;09;-24,8;744;0;180
2022;01;05;12;-20,4;745;1;0
2022;01;05;15;-20,3;745;1;315
2022;01;05;18;-20,6;744;2;315
2022;01;05;21;-21,1;744;3;315
2022;01;06;00;-18,6;743;2;315
2022;01;06;03;-17,7;742;3;315
2022;01;06;06;-16;740;4;315
2022;01;06;09;-14,1;737;5;315
2022;01;06;12;-13,5;736;4;315
2022;01;06;15;-12,5;735;3;315
2022;01;06;18;-11,6;734;3;315
2022;01;06;21;-10,8;733;-9999;
2022;01;07;00;-10;733;-9999;
2022;01;07;03;-9,6;733;-9999;
2022;01;07;06;-8,4;733;-9999;
2022;01;07;09;-6,9;733;-9999;
2022;01;07;12;-5,2;733;-9999;
2022;01;07;15;-4,9;732;-9999;
2022;01;07;18;-5,2;733;-9999;
2022;01;07;21;-6,9;734;-9999;
2022;01;08;00;-11,7;736;-9999;
2022;01;08;03;-12,7;737;-9999;
2022;01;08;06;-12,1;738;-9999;
2022;01;08;09;-13,4;740;-9999;
2022;01;08;12;-12,2;743;-9999;
2022;01;08;15;-11,9;745;3;90
2022;01;08;18;-13,8;748;3;90
2022;01;08;21;-13,7;750;3;90
2022;01;09;00;-14,7;752;2;90
2022;01;09;03;-15,8;753;2;45
2022;01;09;06;-16,2;754;2;45
2022;01;09;09;-15;754;2;0
2022;01;09;12;-13;754;2;0
