sep=;
Year;Month;Day;Hour;Temperature;Pressure;WindSpeed;WindDirection
2022;01;01;00;-1;750;2;90
2022;01;01;03;-1,1;750;2;135
2022;01;01;06;-2;751;3;135
2022;01;01;09;-2,5;752;2;135
2022;01;01;12;-2,9;754;3;135
2022;01;01;15;-5,1;756;3;135
2022;01;01;18;-7,2;758;3;135
2022;01;01;21;-8,1;760;3;135
2022;01;02;00;-8,1;761;3;135
2022;01;02;03;-10,5;762;2;45
2022;01;02;06;-12,4;763;2;45
2022;01;02;09;-12,5;762;0;180
2022;01;02;12;-8,9;761;0;180
2022;01;02;15;-7,2;760;0;180
2022;01;02;18;-5,8;758;1;45
2022;01;02;21;-6,8;756;2;315
2022;01;03;00;-6,6;754;2;315
2022;01;03;03;-6,7;752;2;270
2022;01;03;06;-6,8;750;2;315
2022;01;03;09;-6,5;749;3;315
2022;01;03;12;-6;749;2;270
2022;01;03;15;-6;748;1;270
2022;01;03;18;-5,8;748;2;315
2022;01;03;21;-5,8;748;2;315
2022;01;04;00;-5,8;748;3;315
2022;01;04;03;-5,8;748;2;270
2022;01;04;06;-5,7;747;3;270
2022;01;04;09;-5,7;747;3;315
2022;01;04;12;-5,2;746;3;315
2022;01;04;15;-4,3;745;2;315
2022;01;04;18;-3,5;744;2;270
2022;01;04;21;-1,9;743;2;315
2022;01;05;00;-0,4;743;2;0
2022;01;05;03;1;743;1;0
2022;01;05;06;0,9;742;1;0
2022;01;05;09;0,9;741;0;180
2022;01;05;12;1,5;741;1;315
2022;01;05;15;1,7;740;2;0
2022;01;05;18;1,1;739;2;270
2022;01;05;21;0;740;3;90
2022;01;06;00;-0,2;741;4;90
2022;01;06;03;-1,4;741;1;180
2022;01;06;06;-1,3;741;1;225
2022;01;06;09;-1,3;741;0;180
2022;01;06;12;-1,3;742;0;180
2022;01;06;15;-2,4;743;2;135
2022;01;06;18;-7,1;746;3;135
2022;01;06;21;-8,6;747;-9999;
2022;01;07;00;-6,7;747;-9999;
2022;01;07;03;-6,2;746;-9999;
2022;01;07;06;-9,1;747;-9999;
2022;01;07;09;-12,1;748;-9999;
2022;01;07;12;-12,9;749;-9999;
2022;01;07;15;-13,6;751;-9999;
2022;01;07;18;-13,9;753;-9999;
2022;01;07;21;-15;755;-9999;
2022;01;08;00;-15,5;757;-9999;
2022;01;08;03;-13,8;758;-9999;
2022;01;08;06;-11,3;759;-9999;
2022;01;08;09;-10,5;760;-9999;
2022;01;08;12;-11,4;761;0;180
2022;01;08;15;-9,2;761;1;270
2022;01;08;18;-9;760;1;270
2022;01;08;21;-8,3;758;2;315
2022;01;09;00;-7,1;757;3;315
2022;01;09;03;-6,3;756;2;270
2022;01;09;06;-5,8;755;1;0
2022;01;09;09;-5,4;756;2;0
2022;01;09;12;-5,1;756;2;0
2022;01;09;15;-3,7;757;0;180
2022;01;09;18;-3,5;758;0;180
2022;01;09;21;-3,5;760;0;180
2022;01;10;00;-4,1;762;0;180
2022;01;10;03;-4,6;763;0;180
2022;01;10;06;-4,3;765;2;225
2022;01;10;09;-5,6;767;1;225
2022;01;10;12;-7,3;769;0;180
2022;01;10;15;-8,2;771;2;180
2022;01;10;18;-9,2;773;2;225
2022;01;10;21;-8,5;774;1;225
2022;01;11;00;
2022;01;11;03;
2022;01;11;06;-9,8;778;1;135
2022;01;11;09;-11,6;778;2;90
2022;01;11;12;-13,1;779;2;45
2022;01;11;15;-15;779;1;45
2022;01;11;18;-18,4;779;0;180
2022;01;11;21;-20,2;778;1;45
2022;01;12;00;-20;778;0;180
2022;01;12;03;-19,7;777;0;180
2022;01;12;06;-17,5;775;1;0
2022;01;12;09;-14,6;774;2;0
2022;01;12;12;-14,1;772;3;315
2022;01;12;15;-9,5;769;1;315
2022;01;12;18;-6,1;767;2;45
2022;01;12;21;-5,9;765;2;0
2022;01;13;00;-4,9;761;4;45
2022;01;13;03;-3,7;758;5;45
2022;01;13;06;-1,5;753;3;45
2022;01;13;09;1,6;748;4;45
2022;01;13;12;2,8;747;4;90
2022;01;13;15;3,1;746;4;90
2022;01;13;18;2,9;746;4;90
2022;01;13;21;1,8;744;4;90
2022;01;14;00;1,7;742;3;90
2022;01;14;03;1,9;740;4;90
2022;01;14;06;1,4;737;4;90
2022;01;14;09;0,9;736;3;135
2022;01;14;12;0,9;736;3;135
2022;01;14;15;0,9;738;3;135
2022;01;14;18;0,7;740;4;135
2022;01;14;21;-1,3;741;3;90
2022;01;15;00;-0,6;742;3;135
2022;01;15;03;0;745;3;135
2022;01;15;06;0;748;2;180
2022;01;15;09;-0,5;751;2;135
2022;01;15;12;-1,2;753;4;135
2022;01;15;15;-0,2;754;3;135
2022;01;15;18;0,7;755;3;135
2022;01;15;21;-1;756;3;135
2022;01;16;00;-3;757;2;135
2022;01;16;03;-5,8;758;1;45
2022;01;16;06;-5,5;756;1;90
2022;01;16;09;-3,6;755;3;45
2022;01;16;12;-2,8;753;4;45
2022;01;16;15;-0,6;750;3;45
2022;01;16;18;-0,3;747;4;45
2022;01;16;21;0,2;742;5;45
2022;01;17;00;1,3;739;5;45
2022;01;17;03;0,9;738;3;90
2022;01;17;06;0,4;736;2;45
2022;01;17;09;0,4;734;0;180
2022;01;17;12;0,6;736;0;180
2022;01;17;15;-1,3;739;3;180
2022;01;17;18;-2,4;743;4;180
2022;01;17;21;-4,2;746;4;135
2022;01;18;00;-5,6;749;3;135
2022;01;18;03;-6;752;3;135
2022;01;18;06;-6,2;756;3;135
2022;01;18;09;-6;758;3;135
2022;01;18;12;-5,9;761;3;135
2022;01;18;15;-4,9;763;2;135
2022;01;18;18;-7,7;764;1;45
2022;01;18;21;-5,1;762;2;45
2022;01;19;00;-3,2;761;3;45
2022;01;19;03;-2,7;759;3;45
2022;01;19;06;-0,7;757;2;45
2022;01;19;09;0,5;755;3;45
2022;01;19;12;0,8;754;3;45
2022;01;19;15;0,8;752;3;45
2022;01;19;18;1,7;750;4;45
2022;01;19;21;2,1;747;4;45
2022;01;20;00;2,4;746;4;45
2022;01;20;03;2,5;744;4;45
2022;01;20;06;2,2;743;3;45
2022;01;20;09;2;742;3;45
2022;01;20;12;1,5;741;2;0
2022;01;20;15;0,8;740;1;0
2022;01;20;18;0,6;740;1;0
2022;01;20;21;0,6;740;3;0
2022;01;21;00;0,5;741;3;0
2022;01;21;03;-0,1;742;2;0
2022;01;21;06;-0,3;742;1;0
2022;01;21;09;-0,5;744;2;315
2022;01;21;12;-0,6;745;1;270
2022;01;21;15;-0,8;746;1;270
2022;01;21;18;-2;749;1;225
2022;01;21;21;-1,7;751;1;270
2022;01;22;00;-3;754;1;225
2022;01;22;03;-1,6;756;2;225
2022;01;22;06;-1;757;3;180
2022;01;22;09;-1,5;758;2;225
2022;01;22;12;-2;760;2;180
2022;01;22;15;-1,4;761;1;225
2022;01;22;18;-2,7;763;0;180
2022;01;22;21;-4,3;765;1;270
2022;01;23;00;-4,7;766;1;315
2022;01;23;03;-5,3;768;1;45
2022;01;23;06;-5,7;769;0;180
2022;01;23;09;-6;770;3;0
2022;01;23;12;-6,8;771;2;0
2022;01;23;15;-5,9;771;1;0
2022;01;23;18;-4,3;771;4;0
2022;01;23;21;-3,9;771;3;45
2022;01;24;00;-3,4;771;3;45
2022;01;24;03;-3,7;771;4;45
2022;01;24;06;-3,2;770;3;45
2022;01;24;09;-2,3;769;4;45
2022;01;24;12;-1,4;768;4;45
2022;01;24;15;-0,9;767;3;45
2022;01;24;18;-0,7;765;4;45
2022;01;24;21;-0,7;763;6;45
2022;01;25;00;-1,2;762;3;0
2022;01;25;03;-1,1;761;3;45
2022;01;25;06;0,6;760;2;45
2022;01;25;09;0,5;760;2;45
2022;01;25;12;0,5;760;1;90
2022;01;25;15;-0,2;761;2;135
2022;01;25;18;-5,2;762;0;180
2022;01;25;21;-4,8;764;1;90
2022;01;26;00;-9,5;764;2;45
2022;01;26;03;-9;764;1;90
2022;01;26;06;-9,5;764;1;45
2022;01;26;09;-7,4;763;0;180
2022;01;26;12;-5,4;762;1;45
2022;01;26;15;-4,4;761;2;0
2022;01;26;18;-4,4;760;3;0
2022;01;26;21;-4,5;759;3;0
2022;01;27;00;-5,8;757;2;0
2022;01;27;03;-5,6;756;3;0
2022;01;27;06;-5,2;754;3;0
2022;01;27;09;-5,1;752;3;0
2022;01;27;12;-4,7;751;2;0
2022;01;27;15;-3,1;750;3;0
2022;01;27;18;-2,6;749;1;315
2022;01;27;21;-2,3;747;2;270
2022;01;28;00;-2,2;746;2;315
2022;01;28;03;-2,1;746;2;315
2022;01;28;06;-2,3;745;1;270
2022;01;28;09;-2,2;746;0;180
2022;01;28;12;-2;748;0;180
2022;01;28;15;-2,1;749;0;180
2022;01;28;18;-2,4;751;1;225
2022;01;28;21;-2,8;753;1;180
2022;01;29;00;-3,9;754;1;180
2022;01;29;03;-3,6;755;0;180
2022;01;29;06;-3,4;756;1;135
2022;01;29;09;-4,6;756;0;180
2022;01;29;12;-4,3;756;1;90
2022;01;29;15;-3,1;754;2;45
2022;01;29;18;-3,5;751;2;0
2022;01;29;21;-3,9;747;2;315
2022;01;30;00;-3,7;743;4;270
2022;01;30;03;-3,4;739;5;270
2022;01;30;06;-3,5;736;5;315
2022;01;30;09;-3,3;736;4;315
2022;01;30;12;-2,4;737;3;270
2022;01;30;15;-1,3;738;2;315
2022;01;30;18;-2,1;740;1;270
2022;01;30;21;-2,4;742;0;180
2022;01;31;00;-2,6;743;0;180
2022;01;31;03;-2,9;744;0;180
2022;01;31;06;-3,1;744;0;180
2022;01;31;09;-3,4;745;0;180
2022;01;31;12;-3,1;745;0;180
2022;01;31;15;-2,4;745;0;180
2022;01;31;18;-3,1;746;0;180
2022;01;31;21;-3,3;746;0;180
2022;02;01;00;-3,9;747;0;180
2022;02;01;03;-3,8;747;1;225
2022;02;01;06;-4;746;0;180
2022;02;01;09;-3,6;746;1;225
2022;02;01;12;-3,2;746;1;225
2022;02;01;15;-2,5;745;0;180
2022;02;01;18;-3,1;746;0;180
2022;02;01;21;-3,4;746;0;180
2022;02;02;00;-3,7;746;0;180
2022;02;02;03;-3,8;747;0;180
2022;02;02;06;-3,9;748;0;180
2022;02;02;09;-4,6;749;1;225
2022;02;02;12;-4,7;750;0;180
2022;02;02;15;-4,5;751;0;180
2022;02;02;18;-4,4;753;0;180
2022;02;02;21;-4,9;754;0;180
2022;02;03;00;-5;755;0;180
2022;02;03;03;-7;756;0;180
2022;02;03;06;-7,2;757;0;180
2022;02;03;09;-7,7;758;0;180
2022;02;03;12;-7,4;759;0;180
2022;02;03;15;-8,1;760;0;180
2022;02;03;18;-11,6;761;0;180
2022;02;03;21;-14,5;761;0;180
2022;02;04;00;-17,1;762;0;180
2022;02;04;03;-19,2;763;0;180
2022;02;04;06;-17,9;763;0;180
2022;02;04;09;-15,5;763;0;180
2022;02;04;12;-9,3;763;0;180
2022;02;04;15;-6;762;1;315
2022;02;04;18;-6,1;761;2;0
2022;02;04;21;-6,4;760;2;0
2022;02;05;00;-7,1;759;2;0
2022;02;05;03;-7,1;757;2;315
2022;02;05;06;-7,3;755;4;315
2022;02;05;09;-7,2;753;3;270
2022;02;05;12;-6,7;751;2;315
2022;02;05;15;-5,8;750;2;270
2022;02;05;18;-5,3;749;1;315
2022;02;05;21;-5,1;749;1;315
2022;02;06;00;-4,8;748;1;0
2022;02;06;03;-4,3;748;1;315
2022;02;06;06;-3,7;747;0;180
2022;02;06;09;-2,9;747;0;180
2022;02;06;12;-1,1;747;2;0
2022;02;06;15;0;745;2;0
2022;02;06;18;0,6;744;1;315
2022;02;06;21;1,3;743;2;0
2022;02;07;00;1;742;2;0
2022;02;07;03;1,1;742;2;0
2022;02;07;06;1,2;743;1;0
2022;02;07;09;1,4;744;1;315
2022;02;07;12;1;744;0;180
2022;02;07;15;1,1;744;1;270
2022;02;07;18;0,8;745;0;180
2022;02;07;21;0,9;746;0;180
2022;02;08;00;0,7;747;0;180
2022;02;08;03;0,8;748;0;180
2022;02;08;06;0,4;750;0;180
2022;02;08;09;0,6;751;1;135
2022;02;08;12;0,2;751;1;90
2022;02;08;15;-0,2;752;2;90
2022;02;08;18;-0,9;752;1;90
2022;02;08;21;-0,5;751;1;45
2022;02;09;00;-1,2;751;0;180
2022;02;09;03;-1,1;751;0;180
2022;02;09;06;-0,8;751;0;180
2022;02;09;09;-0,1;752;2;90
2022;02;09;12;0,1;753;1;90
2022;02;09;15;0,8;753;0;180
2022;02;09;18;-0,4;753;2;45
2022;02;09;21;0,6;751;2;45
2022;02;10;00;1;749;2;0
2022;02;10;03;0,8;746;-9999;
2022;02;10;06;0,9;747;-9999;
2022;02;10;09;0,8;749;-9999;
2022;02;10;12;1,1;750;-9999;
2022;02;10;15;1,6;750;2;90
2022;02;10;18;1,5;750;3;45
2022;02;10;21;1,5;750;3;45
2022;02;11;00;1;750;2;90
2022;02;11;03;-0,4;750;2;90
2022;02;11;06;-1;751;2;90
2022;02;11;09;-0,1;751;2;90
2022;02;11;12;0,3;752;3;90
2022;02;11;15;К сожалению фактических данных на эту дату в архиве нет;
2022;02;11;18;-1,1;754;3;90
2022;02;11;21;-2,8;755;2;90
2022;02;12;00;-2,6;757;2;90
2022;02;12;03;-3,4;758;3;90
2022;02;12;06;-5;759;2;90
2022;02;12;09;-7,2;759;1;45
2022;02;12;12;-1,7;759;3;45
2022;02;12;15;-0,8;758;4;45
2022;02;12;18;0,4;758;4;90
2022;02;12;21;0,1;758;2;90
2022;02;13;00;0,9;758;5;90
2022;02;13;03;1,1;759;3;90
2022;02;13;06;0,5;760;2;90
2022;02;13;09;0,7;760;3;45
2022;02;13;12;1;759;3;45
2022;02;13;15;1,4;758;4;45
2022;02;13;18;0,8;756;4;45
2022;02;13;21;-0,2;755;4;45
