sep=;
Year;Month;Day;Hour;Temperature
2022;01;01;06;-11
2022;01;01;18;-6
2022;01;02;06;-6,1
2022;01;02;18;-5,8
2022;01;03;06;-10,6
2022;01;03;18;-10,6
2022;01;04;06;-15
2022;01;04;18;-15
2022;01;05;06;-26,3
2022;01;05;18;-19,7
2022;01;06;06;-21,3
2022;01;06;18;-11,6
2022;01;07;06;-11,6
2022;01;07;18;-4,5
2022;01;08;06;-16,3
2022;01;08;18;-11,9
2022;01;09;06;-17,4
2022;01;09;18;-8,4
2022;01;10;06;-8,4
2022;01;10;18;-8,2
2022;01;11;06;-9,7
2022;01;11;18;-8,8
2022;01;12;06;-17,5
2022;01;12;18;-15,9
2022;01;13;06;-18,8
2022;01;13;18;-8
2022;01;14;06;-9,5
2022;01;14;18;-9,5
2022;01;15;06;-13,1
2022;01;15;18;-9,9
2022;01;16;06;-10,9
2022;01;16;18;-6,7
2022;01;17;06;-9,1
2022;01;17;18;-5,5
2022;01;18;06;-5,6
2022;01;18;18;-2,9
2022;01;19;06;-7,1
2022;01;19;18;-6,3
2022;01;20;06;-14,8
2022;01;20;18;-6,5
2022;01;21;06;-7,6
2022;01;21;18;-7,6
2022;01;22;06;-13,3
2022;01;22;18;-10,1
2022;01;23;06;-11
2022;01;23;18;-5,3
2022;01;24;06;-9,9
2022;01;24;18;-9,3
2022;01;25;06;-12,7
2022;01;25;18;-8,4
2022;01;26;06;-15,5
2022;01;26;18;-12,9
2022;01;27;06;-16,2
2022;01;27;18;-12,7
2022;01;28;06;-15,2
2022;01;28;18;-9,3
2022;01;29;06;-13,7
2022;01;29;18;-7,3
2022;01;30;06;-15,6
2022;01;30;18;-11,7
2022;01;31;06;-16,2
2022;01;31;18;-8,7
2022;02;01;06;-9,8
2022;02;01;18;-1,1
2022;02;02;06;-3
2022;02;02;18;-0,8
2022;02;03;06;-5,8
2022;02;03;18;-4,5
2022;02;04;06;-16,1
2022;02;04;18;-7,2
2022;02;05;06;-8,4
2022;02;05;18;-7,1
2022;02;06;06;-7,2
2022;02;06;18;-4,4
2022;02;07;06;-7,9
2022;02;07;18;-5,7
2022;02;08;06;-16,5
2022;02;08;18;-7,3
2022;02;09;06;-10,9
2022;02;09;18;-6,2
2022;02;10;06;-6,2
2022;02;10;18;-2,2
2022;02;11;06;-8,8
2022;02;11;18;-6,1
2022;02;12;06;-6,1
2022;02;12;18;-1,4
2022;02;13;06;-5,2
2022;02;13;18;-3,3
2022;02;14;06;-7,1
2022;02;14;18;-3,7
2022;02;15;06;-5,3
2022;02;15;18;-3,2
2022;02;16;06;-4,7
2022;02;16;18;0,3
2022;02;17;06;-5,6
2022;02;17;18;-0,6
2022;02;18;06;-3,2
2022;02;18;18;1,2
2022;02;19;06;-2,2
2022;02;19;18;-0,2
2022;02;20;06;-1,3
2022;02;20;18;0,8
2022;02;21;06;-2,7
2022;02;21;18;0
2022;02;22;06;-3,1
2022;02;22;18;-0,6
2022;02;23;06;-1,1
2022;02;23;18;1,5
2022;02;24;06;-0,2
