sep=;
Year;Month;Day;Hour;Temperature
2022;01;01;06;-2
2022;01;01;21;-2,5
2022;01;02;06;-12,8
2022;01;02;21;-5,5
2022;01;03;06;-7,1
2022;01;03;21;-5,8
2022;01;04;06;-5,9
2022;01;04;21;-1,9
2022;01;05;06;-3,5
2022;01;05;21;1,9
2022;01;06;06;-1,5
2022;01;06;21;-1,2
2022;01;07;06;-9,2
2022;01;07;21;-12
2022;01;08;06;-15,9
2022;01;08;21;-8,2
2022;01;09;06;-9,4
2022;01;09;21;-3,2
2022;01;10;06;-4,8
2022;01;10;21;-5,6
2022;01;11;06;-9,8
2022;01;11;21;-11,3
2022;01;12;06;-21,2
2022;01;12;21;-5,5
2022;01;13;06;-6,2
2022;01;13;21;3,5
2022;01;14;06;1
2022;01;14;21;1,2
2022;01;15;06;-1,7
2022;01;15;21;0,7
2022;01;16;06;-6,3
2022;01;16;21;0,4
2022;01;17;06;-0,4
2022;01;17;21;0,8
2022;01;18;06;-6,3
2022;01;18;21;-4,5
2022;01;19;06;-7,8
2022;01;19;21;2,3
2022;01;20;06;1,7
2022;01;20;21;2
2022;01;21;06;-0,4
2022;01;21;21;-0,1
2022;01;22;06;-3,1
2022;01;22;21;-1,3
2022;01;23;06;-5,7
2022;01;23;21;-3,8
2022;01;24;06;-4,5
2022;01;24;21;-0,3
2022;01;25;06;-1,4
2022;01;25;21;1
2022;01;26;06;-11
2022;01;26;21;-4,1
2022;01;27;06;-6
2022;01;27;21;-2,2
2022;01;28;06;-2,6
2022;01;28;21;-1,5
2022;01;29;06;-3,9
2022;01;29;21;-3
2022;01;30;06;-4
2022;01;30;21;-1,3
2022;01;31;06;-3,2
2022;01;31;21;-2,1
2022;02;01;06;-4
2022;02;01;21;-2,3
2022;02;02;06;-4
2022;02;02;21;-4,4
2022;02;03;06;-7,4
2022;02;03;21;-6,6
2022;02;04;06;-19,2
2022;02;04;21;-5,8
2022;02;05;06;-7,4
2022;02;05;21;-5
2022;02;06;06;-5,3
2022;02;06;21;1,3
2022;02;07;06;0,7
2022;02;07;21;1,4
2022;02;08;06;0,4
2022;02;08;21;0,6
2022;02;09;06;-1,4
2022;02;09;21;1,7
2022;02;10;06;-0,7
2022;02;10;21;1,8
2022;02;11;06;-1,2
2022;02;11;21;0,6
2022;02;12;06;-5,1
2022;02;12;21;0,8
2022;02;13;06;0,1
2022;02;13;21;1,5
2022;02;14;06;-0,9
2022;02;14;21;2,2
2022;02;15;06;1,4
2022;02;15;21;4,4
2022;02;16;06;2
2022;02;16;21;4,4
2022;02;17;06;1,4
2022;02;17;21;2,3
2022;02;18;06;0,5
2022;02;18;21;1,2
2022;02;19;06;0,4
2022;02;19;21;1,9
2022;02;20;06;-3,3
2022;02;20;21;1
2022;02;21;06;-1,2
2022;02;21;21;2
2022;02;22;06;0
2022;02;22;21;2,3
2022;02;23;06;-5,3
2022;02;23;21;-2,9
2022;02;24;06;-3,7
2022;02;24;21;3,3
2022;02;25;06;0,7
2022;02;25;21;3
2022;02;26;06;0,7
2022;02;26;21;1,6
2022;02;27;06;-7,5
2022;02;27;21;1
2022;02;28;06;-2,1
2022;02;28;21;2
2022;03;01;06;-2,7
2022;03;01;21;5,6
2022;03;02;06;-0,7
2022;03;02;21;1,7
2022;03;03;06;-1,1
2022;03;03;21;1,4
2022;03;04;06;0
2022;03;04;21;1,7
2022;03;05;06;-7,9
2022;03;05;21;-1
2022;03;06;06;-4
2022;03;06;21;0,5
2022;03;07;06;-2,5
2022;03;07;21;-3,1
2022;03;08;06;-10,9
2022;03;08;21;-4,5
2022;03;09;06;-7,5
2022;03;09;21;-1,7
2022;03;10;06;-11
2022;03;10;21;-0,1
2022;03;11;06;-5,5
2022;03;11;21;0,6
2022;03;12;06;-2,7
2022;03;12;21;4,5
2022;03;13;06;-1,2
2022;03;13;21;6
2022;03;14;06;-4,2
2022;03;14;21;6
2022;03;15;06;-3,6
2022;03;15;21;9,2
2022;03;16;06;-1
2022;03;16;21;7,9
2022;03;17;06;-0,1
2022;03;17;21;8,8
2022;03;18;06;-2
2022;03;18;21;7,8
2022;03;19;06;0,2
2022;03;19;21;2,9
2022;03;20;06;-0,1
2022;03;20;21;6,7
2022;03;21;06;-1,3
2022;03;21;21;10,2
2022;03;22;06;-0,1
2022;03;22;21;6,9
2022;03;23;06;-2,3
2022;03;23;21;8
2022;03;24;06;-2,4
2022;03;24;21;6
2022;03;25;06;1,9
2022;03;25;21;7,4
2022;03;26;06;1,7
2022;03;26;21;2,2
2022;03;27;06;-4,7
2022;03;27;21;0,2
2022;03;28;06;-5
2022;03;28;21;3,8
2022;03;29;06;-6,4
2022;03;29;21;-1,6
2022;03;30;06;-6,1
2022;03;30;21;0,6
2022;03;31;06;-3,6
2022;03;31;21;1,9
2022;04;01;06;-5,5
2022;04;01;21;3,3
2022;04;02;06;-2,6
2022;04;02;21;3,6
2022;04;03;06;-5,5
2022;04;03;21;3,3
2022;04;04;06;-2,3
2022;04;04;21;5,9
2022;04;05;06;1,5
2022;04;05;21;3,2
2022;04;06;06;-2,8
2022;04;06;21;1,4
2022;04;07;06;-2,7
2022;04;07;21;5,7
2022;04;08;06;5,1
2022;04;08;21;10
2022;04;09;06;2,5
2022;04;09;21;9,6
2022;04;10;06;0,9
2022;04;10;21;7,9
2022;04;11;06;2
2022;04;11;21;10
2022;04;12;06;-0,1
2022;04;12;21;8,5
2022;04;13;06;-0,5
2022;04;13;21;10,1
2022;04;14;06;-0,3
2022;04;14;21;7,5
2022;04;15;06;2
2022;04;15;21;6,7
2022;04;16;06;0,8
2022;04;16;21;7,3
2022;04;17;06;-0,6
2022;04;17;21;8,5
2022;04;18;06;2,4
2022;04;18;21;12,2
2022;04;19;06;5,2
2022;04;19;21;12,6
2022;04;20;06;4,4
2022;04;20;21;15,3
2022;04;21;06;4,6
2022;04;21;21;13,6
2022;04;22;06;3,3
2022;04;22;21;15,8
2022;04;23;06;3,9
2022;04;23;21;10,6
2022;04;24;06;2,5
2022;04;24;21;10,3
2022;04;25;06;5,4
2022;04;25;21;6,1
2022;04;26;06;4,9
2022;04;26;21;10,1
2022;04;27;06;0,4
2022;04;27;21;4,5
2022;04;28;06;0
2022;04;28;21;6,4
2022;04;29;06;2,2
2022;04;29;21;6,2
2022;04;30;06;0
2022;04;30;21;7,5
2022;05;01;06;4
2022;05;01;21;10,5
2022;05;02;06;5
2022;05;02;21;12,2
2022;05;03;06;5,6
2022;05;03;21;7,9
2022;05;04;06;1,7
2022;05;04;21;6,7
2022;05;05;06;3,6
2022;05;05;21;11,4
2022;05;06;06;9
2022;05;06;21;16,4
2022;05;07;06;8,3
2022;05;07;21;19,2
2022;05;08;06;5,3
2022;05;08;21;9,4
2022;05;09;06;2,6
2022;05;09;21;9,9
2022;05;10;06;5,2
2022;05;10;21;16,6
2022;05;11;06;8,9
2022;05;11;21;17,3
2022;05;12;06;7,6
2022;05;12;21;15
2022;05;13;06;7,6
2022;05;13;21;12,5
2022;05;14;06;7,4
2022;05;14;21;14,9
2022;05;15;06;6,5
2022;05;15;21;11,7
2022;05;16;06;7,1
2022;05;16;21;10,7
2022;05;17;06;6,7
2022;05;17;21;8,1
2022;05;18;06;4,6
2022;05;18;21;11,6
2022;05;19;06;7,3
2022;05;19;21;13,4
2022;05;20;06;4,2
2022;05;20;21;12,8
2022;05;21;06;5,1
2022;05;21;21;13,1
2022;05;22;06;5
2022;05;22;21;13,2
2022;05;23;06;6,7
2022;05;23;21;16,5
2022;05;24;06;6,5
2022;05;24;21;17,4
2022;05;25;06;6,1
2022;05;25;21;19
2022;05;26;06;8,4
2022;05;26;21;13,9
2022;05;27;06;9,5
2022;05;27;21;14,3
2022;05;28;06;8,8
2022;05;28;21;15,4
2022;05;29;06;9,7
2022;05;29;21;15,8
2022;05;30;06;9,9
2022;05;30;21;22,1
2022;05;31;06;14,4
2022;05;31;21;18,6
2022;06;01;06;11,5
2022;06;01;21;21,9
2022;06;02;06;14
2022;06;02;21;20,5
2022;06;03;06;12
2022;06;03;21;18,3
2022;06;04;06;11,7
2022;06;04;21;16,3
2022;06;05;06;11,7
2022;06;05;21;18,2
2022;06;06;06;10,8
2022;06;06;21;17,3
2022;06;07;06;10
2022;06;07;21;20,4
2022;06;08;06;11,2
2022;06;08;21;22,9
2022;06;09;06;14,7
2022;06;09;21;20,7
2022;06;10;06;13,2
2022;06;10;21;21,8
2022;06;11;06;12,8
2022;06;11;21;24,9
2022;06;12;06;14,4
2022;06;12;21;22,1
2022;06;13;06;14,7
2022;06;13;21;20,9
2022;06;14;06;12,4
2022;06;14;21;19,1
2022;06;15;06;11,6
2022;06;15;21;17,7
2022;06;16;06;13,9
2022;06;16;21;18,1
2022;06;17;06;11,9
2022;06;17;21;14,6
2022;06;18;06;11
2022;06;18;21;19,5
2022;06;19;06;14,5
2022;06;19;21;18
2022;06;20;06;13,2
2022;06;20;21;17,1
2022;06;21;06;10,9
2022;06;21;21;19,2
2022;06;22;06;9,4
2022;06;22;21;21,9
2022;06;23;06;11,5
2022;06;23;21;23,7
2022;06;24;06;16,8
2022;06;24;21;24,5
2022;06;25;06;15,4
2022;06;25;21;28
2022;06;26;06;17,3
2022;06;26;21;29
2022;06;27;06;19,5
2022;06;27;21;30,6
2022;06;28;06;20,2
2022;06;28;21;27,1
2022;06;29;06;16,4
2022;06;29;21;27,9
2022;06;30;06;16,4
2022;06;30;21;27,8
2022;07;01;06;16,6
2022;07;01;21;31,9
2022;07;02;06;19,9
2022;07;02;21;31,9
2022;07;03;06;21,5
2022;07;03;21;27,1
2022;07;04;06;18,9
2022;07;04;21;27
2022;07;05;06;17,8
2022;07;05;21;25,8
2022;07;06;06;16,5
2022;07;06;21;22,7
2022;07;07;06;16,4
2022;07;07;21;22,4
2022;07;08;06;16,5
2022;07;08;21;21,9
2022;07;09;06;17,1
2022;07;09;21;24,1
2022;07;10;06;16
2022;07;10;21;22
2022;07;11;06;15,5
2022;07;11;21;22,4
